Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35749414,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David  Reich,"Reich, David",,"=""110187032X""","=""9781101870327""",5,4.14,Pantheon,Hardcover,335,2018,2018,2025/06/02,2025/01/09,,,read,"I was inspired to read this book after watching a podcast with David Reich. As someone who’s long been interested in the origins of humanity, the movement of people and languages, and the ancient DNA revolution, I was excited to understand it all in greater detail straight from the horse's mouth.<br/><br/>This book is a fascinating introduction to the world of ancient DNA and how it has fundamentally reshaped not just genetics but also other scientific fields, from archaeology and biology to medicine and economics. It challenges long-held beliefs and breaks stereotypes about human evolution.<br/><br/>David Reich offers a sweeping walkthrough of ancient DNA research (as of 2018), showing how studying entire genomes, not just chromosomes, has helped trace the journey of our species from its roots in Africa to its spread across Europe and beyond.<br/><br/>There’s a wealth of information in this book (which I won’t fully dive into here) about the DNA sequencing process, from sample collection and four-population tests to identifying ghost populations. He explains how sequence lengths, mutation rates, and genome density help reveal deep ancestral patterns across human populations.<br/><br/>One of the book’s central themes is that there are no “pure” human lineages. Humans, Neanderthals, and Denisovans have repeatedly intermixed over tens of thousands of years. Reich also addresses how misinterpretations of genetics, like those seen in Nazi Germany, have had harmful political consequences and how today’s researchers must carefully navigate these challenges while pursuing the truth.<br/><br/>The chapters I found most compelling were the ones on the making of modern Europe and, naturally, the one on India — two stories that are deeply intertwined and have sparked debate for decades. Reich traces the narrative from the Rig Veda to the tribes of North Sentinel Island. His collaboration with the Indian government to collect a vast array of DNA samples was fascinating to read.<br/><br/>He also explains how he had to carefully frame his findings about a major West Eurasian migration into India, given the politically sensitive nature of the Aryan Invasion Theory (AIT). This led him to introduce the terms Ancestral North Indians (ANI) and Ancestral South Indians (ASI), two genetically distinct populations that fully mixed over time to form the ancestry of modern Indians (excluding groups like those on North Sentinel Island). The ANI are genetically linked to Europeans, while the ASI descended from a group not related to any population outside India. Their eventual mixing, which occurred between 4,000 and 2,000 years ago, was followed by the rise of caste-based endogamy, isolating population groups for centuries, a phenomenon known as a “population bottleneck.”<br/><br/>India, despite having over a billion people, isn't one large genetic population like the Han Chinese. Instead, thanks to jati endogamy, it is a mosaic of many small, distinct groups.<br/><br/>Reich extends his exploration to other continents, shedding light on their unique ancestral histories and revealing the untapped potential of ancient DNA as more global data becomes available. His ability to make such a complex, nuanced subject accessible is a testament to both his clear writing and deep dedication.<br/><br/>By the end of the book, it's hard not to feel a sense of awe and curiosity about how many more myths and revelations are still waiting to be uncovered. The story of humanity, it seems, is far from over.",,,1,0
211202774,Kashi: The Valiant History of a Sacred Geography,Aditi Banerjee,"Banerjee, Aditi",,"=""939220969X""","=""9789392209697""",0,4.00,Occam,Paperback,340,2024,,,2025/01/17,to-read,to-read (#75),to-read,,,,0,0
43698188,The Sangh & Swaraj: Ratan Sharda's Perspective on Nationalism and Freedom,Ratan Sharda,"Sharda, Ratan",,"=""""","=""""",3,4.10,Prabhat Prakashan Pvt. Ltd.,Kindle Edition,274,2020,2019,2025/01/06,2024/12/05,,,read,"The Sangh and Swaraj is a short book on the role of the Rashtriya Swayamsevak Sangh (RSS) in India's freedom struggle. It is authored by Ratan Sharda, a longtime RSS activist who has also written other books on RSS and demystified it for the general public. This book, in particular, shares documentary and anecdotal evidence of RSS's role in the freedom movement, which has often been questioned in Indian mainstream media and used as a brickbat against the Sangh. It is tragic that a selfless volunteer organization like RSS, which has always put the nation first and hasn't sought publicity for its contributions, has to prove itself. On the other hand, the necessity to set the record straight has brought out the need for this and other books, thus enhancing the literature on the subject. <br/><br/>The book briefly introduces the founder of RSS, Dr.Hedgewar (also known as Doctorji), his time with Congress, the founding of RSS with the goal of national freedom and youth to serve the nation, and its subsequent expansion. We also read about Shri Golwalkar (also known as Guruji), who took the mantle after Hedgewar's passing and was key to expanding the base of RSS throughout the country and making it one of the most critical organizations in the country. <br/><br/>Both leaders took various initiatives during the freedom struggle movements, such as non-cooperation and Quit India. Furthermore, Sangh volunteers actively participated in the freedom struggle, with many losing their lives. At the time of independence and partition, Guruji and the Sangh were at the forefront of the crisis, being involved in relief and rehabilitation work for the countless people whose lives were uprooted. They also did exemplary work in protecting women and children from atrocities by setting up various relief camps.<br/><br/>Lastly, the author sheds light on the RSS's growing popularity and the resentment it caused the Congress. The Congress tried various ways to stifle the organization's growth despite stating many times that it did not have any political goals and was only focused on national service. After the assassination of Mahatma Gandhi, a ban was placed on RSS despite them strongly condemning the incident and having a nationwide mourning. Eventually, though the ban was lifted, it showed the vile machinations of the Congress of the time, and the consequences of those actions continue to tarnish the RSS's image today. <br/><br/>It can be said without ambiguity that RSS played a vital role in the Indian freedom struggle, without which one cannot imagine the level of damage that could have been caused. The organization continues to be the backbone of India in times of crisis and should be celebrated and acknowledged for its contributions. ",,,1,0
189040546,A TALE OF TWO CITIES: THE DECLINE AND FALL OF THE “UBAYA-VEDANTINS” An outline of the History of Sri Vaishnavas of Tamil Nadu that was never written,M.K. Sudarshan,"Sudarshan, M.K.",Aravindan Neelakandan,"=""""","=""9798888875407""",0,3.50,Westwood Books Publishing,Kindle Edition,642,2023,,,2024/12/28,to-read,to-read (#74),to-read,,,,0,0
203918909,Why Bharat Matters,S. Jaishankar,"Jaishankar, S.",,"=""9357026401""","=""9789357026406""",4,3.88,Rupa Publications India,Kindle Edition,237,2024,,2024/12/02,2024/02/18,,,read,"Why Bhārat matters can be considered a point-in-time book that gives a snapshot of India, its place in the world today, and its relationships and challenges in a global economy. It can also be considered a geopolitical history book that outlines our journey since independence and the vicissitudes we’ve seen with our foreign affairs. The book also establishes the vision and focus for the future and charts the path ahead. Hence, it can be seen as a foundational book for a rising India. All of this is stitched into a cohesive and engaging read by drawing historical parallels with the Ramayana, narrated by the sitting Minister of External Affairs of India, Dr.S Jaishankar, making this a very engaging read for people who believe in the India story. <br/><br/>What sets this book apart is its ability to help the reader understand the nature and scope of external affairs and the scale at which the “mind games” happen. No country is too small, and no negotiation is straightforward. From the USA to China, bilateral relations to QUAD, influencing nations with soft and hard power like Vaccine Maitri, etc., Jaishankar paints the world and India’s role with a broad brush. He gives a sense of the complexities and challenges involved. <br/><br/>It was enlightening to read about the sharpness and clarity with which each relationship is analyzed, its historical precedent, and the thinking behind decision-making. Decades of efforts to build a relationship can turn sour instantly, as seen when China clashed with India at Galwan. The opposite is true as well, where relatively sparse exchanges with countries rapidly advanced after renewing contact for each other’s benefit, as is the case with Australia. <br/><br/>What shines through all of this is that the India pre-2014 and post-2014 under the Modi leadership are distinct from each other in many ways, and significant progress has been achieved in the last ten years than, one could argue, has been made in all of the post-independence years combined before that. And we must give credit where it’s due. It is indeed heartening and encouraging to see India in safe hands and ready to take on the leadership of the global south and put its own interests first while balancing it worth the needs of its neighbors and the world at large. ",,,1,0
60567936,"Red on Red: Liverpool, Manchester United and the fiercest rivalry in world football",Phil McNulty,"McNulty, Phil",Jim White,"=""0008489157""","=""9780008489151""",0,4.09,HarperNorth,Hardcover,320,2023,2022,,2024/12/11,to-read,to-read (#73),to-read,,,,0,0
22103881,The New One Minute Manager,Kenneth H. Blanchard,"Blanchard, Kenneth H.",Spencer Johnson,"=""0062367544""","=""9780062367549""",3,3.95,William Morrow,Hardcover,112,2015,1981,2024/01/14,2024/01/09,,,read,"I'll start this review with my usual disclaimer that I am not a fan of self-help books and usually avoid them. I picked this one up as my manager recommended it and finally read it. The New One Minute Manager, as the name suggests, is a short guidebook to managers on how they can manage people and help them and the organization grow together. While the original One Minute Manager came a couple of decades ago, this book has been adapted to today's more flat organizational style compared to the top-down hierarchical structures businesses followed in previous decades.<br/><br/>Instead of being a preachy and direct rulebook of what one should or shouldn't do, this book takes a conversational route, with the protagonist being a young man joining a new organization who's eager to meet the ""New One Minute Manager"" and learn why he's so good and well respected by his organization as well as his colleagues. The book walks us through three ""secrets"" to effective management - One Minute Goals, One Minute Praises, and One Minute Re-Directs. Each of these takes, as you guessed it, just a minute to act on but significantly affects the well-being, productivity, and growth of the individuals and the organization as a whole.<br/><br/>As someone who has transitioned into a managerial role for close to a year now, I felt encouraged that I was already practicing some of the tips mentioned in the book. I found other perspectives helpful while also feeling skeptical of whether some things would work. There are enough resources and people with experience on the internet and in organizations today who can provide much better mentoring on being an effective manager. Still, it works as an introductory book for someone starting out and needing guidance.",,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2024/06/27,to-read,to-read (#72),to-read,,,,0,0
6235229,Muslim Separatism:  Causes and Consequences,Sita Ram Goel,"Goel, Sita Ram",,"=""8185990263""","=""9788185990262""",5,4.62,Voice of India,Paperback,135,1995,1983,2024/06/23,2021/03/24,,,read,"Certain characteristics characterize SRG's writing: concise content, scathing criticism, meticulous detail, and bludgeoning impact. Muslim Separatism: Causes and Consequences is no exception. <br/><br/>This is a review of the seminal book, 'The Tragic Story of Partition' by H.V. Seshadri. SRG, while broadly agreeing with the clarity and retelling of H.V. Seshadri, adds his own opinions where he differs from the author. The book delves into the causes that led to the partition of India and how the Hindu society and the leaders of the Indian National Congress failed and continue to fail to understand the consciousness of Islam and the sinister nature of the 'residues of Islamic imperialism' - the people and movement that emerged post the downfall of the Mughal empire. <br/><br/>SRG is a master at both rising up the patriot within us while making us hang our heads in shame when we realize how the misjudgments and lack of insight into the mind of the enemy led to the bloody massacre of an ancient civilization and its people. He provides a continuity of the stream of thought among Muslims right from the fall of the Mughal empire to reclaim India as a whole and places all of their actions before and during the freedom struggle in that context. From the Wahabbi movement inspired by Shah Waliullah, followed by Ahmad Shah Abdali, Abdul Aziz, Syed Ahmed Barelvi, Titu, and Dudhu Mian, to finally the father of the two-nation theory, Sir Syed Ahmed Khan, SRG traces the underlying motive and cause of jihad until partition. He laments how the national leadership under the Indian National Congress failed to have any sense of historical perspective and thus kept losing ground to the Muslims as they sided for and against the British at their convenience. <br/><br/>It is important to note that SRG gives credit where due, primarily to the British for their meticulous study of Indian history, geology, and scriptures and rigorously documenting them to lead us to write our history in a more modern and ordered manner. He praises the shining beacons of our national resurgence, starting with Maharishi Dayananda Saraswati, Bankim Chandra Chatterjee, Swami Vivekananda, and Sri Aurobindo. It is unfortunate that despite such stalwarts trying to shake us from our slumber and open our eyes to the greatness of our spiritual and cultural heritage, the leaders of the Indian National Congress were blinded by the promises and ideologies purported by the British and the Muslim league. <br/><br/>One might wonder what the purpose of reading such books might be today, but cliched as it might sound, history does repeat itself. There are many lessons to be learned from India's history, particularly around the independence movement and the partition. For India to progress as a nation and re-assert its civilizational strength and culture, it must learn from the mistakes it made in its past to rise to a confident future.",,,1,0
2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,"Dennett, Daniel C.",,"=""068482471X""","=""9780684824710""",0,4.07,Simon & Schuster,Paperback,588,1996,1995,,2024/06/18,to-read,to-read (#71),to-read,,,,0,0
209309160,Accelerating India's Development: A State-Led Roadmap for Effective Governance,Karthik Muralidharan,"Muralidharan, Karthik",,"=""9357087656""","=""9789357087650""",0,4.46,Viking,Kindle Edition,978,2024,,,2024/05/25,to-read,to-read (#70),to-read,,,,0,0
63837383,Whirlwinds (Ponniyin Selvan #2),Kalki Krishnamurthy,"Krishnamurthy, Kalki",Pavithra Srinivasan,"=""""","=""""",4,4.64,ZERO DEGREE PUBLISHING ,Kindle Edition,482,2019,1954,2023/06/02,2023/04/26,,,read,"Note: You can access part 1 of my review here - https://madrasmedley.com/book-reviews/ps1/<br/><br/>Part 2, and others, are a direct continuation of their previous parts; hence, it is easy to pick up from where we left off. We spend some time in Thanjai, where we witness a battle of words and wits between the Ilaya Piratti Kundhavai and Pazhuvoor Rani Nandini, but most of the story is set in Sri Lanka. As the story progresses, we see Vandhiyathevan eventually establishing contact with Kundhavai, who assigns him the new task of bringing back her younger brother, Arunmozhi Varman, from Ilankai. His elder brother, Aditya Karikalan, also does the same, sending Parthibendran Pallavan with his message. <br/><br/>The book follows a similar theme to Book 1, filled with adventure, fights, escapes, and mysteries. After a long wait, we meet the book's central character, Prince Arunmozhi Varman, a.k.a Ponniyin Selvan, as Vanthiyathevan and Azhwarkkadiyan find him in Sri Lanka. Kalki describes the islands, the flora, and the fauna exquisitely, and also the prevailing Buddhist influences there. He also elaborately details the character of Ponniyin Selvan as a humble, just, and empathetic ruler and draws a sharp contrast with his elder and rash brother Aditya Karikalan. Ponniyin Selvan respects all religions and Gods, goes to any lengths for his people and friends, never goes against his king's (and father's) wishes, and treats everyone with empathy and kindness. So good was he that the residents of Ilankai went about their business and worshipped him wherever he went, despite the Chozas warring against King Mahindan. <br/><br/>We are also introduced to a few key characters, most notably Mandakini, a.k.a Oomai Rani, who acts as the guardian angel of our hero, saving him from drowning as a kid as well as various attempts by the Pandyan rebels to kill him in Sri Lanka. Moreover, she arrives with food and an Arab horse and guides the Prince during crucial times, sharing vital information. We also get to know Poonguzhali, the boat woman with such deep affection for the Prince and who journeys with him as he tries to honor his father's commands and be imprisoned by troops coming from Thanjai. And lastly, Kodumbalur Periya Velar Senathipathi Boothi Vikramakesari,  who bristles at the mention of Pazhuvettaraiyars and vows to go to any lengths to protect the king. <br/><br/>Kalki portrays Arunmozhi Varman as someone who thinks of himself almost as a victim of circumstance, as he laments his fate of not having anyone who wants to know what his inner desires are - to travel and explore the world through the seas. In contrast, everyone wants to burden him with one title or the other and rule the Chola Kingdom. He emphasizes the enormous challenge of leading such a vast country and is glad there are others before him. It is interesting to imagine that the great Raja Raja Chozan would have felt this way, and moments like these make this book a masterpiece. <br/><br/>The exchanges between Vanthiyathevan, the Prince, and Azhwarkaddiyan are timely and hilarious and make one wonder how much better it would have been in Tamil. The book ends on a cliffhanger, with Vandhiyathevan caught in the middle of a storm as the magician Ravidasan and Devaralan abandon him on board after he refuses to join their mission of destroying the Cholas. Our Prince braves it all to save him in the nick of time. Onwards to part 3! ",,,1,0
37903770,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,4.10,W. W. Norton & Company,Paperback,301,2018,2017,,2024/04/04,to-read,to-read (#69),to-read,,,,0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.39,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2024/03/28,to-read,to-read (#68),to-read,,,,0,0
52668624,RAYA : Krishnadevaraya of Vijayanagara,Srinivas Reddy,"Reddy, Srinivas",,"=""9353450977""","=""9789353450977""",3,3.71,Juggernaut,Hardcover,264,2020,2020,2024/03/28,2024/02/18,,,read,"Raya by Srinivas Reddy is a biography of the legendary Indian King of the Vijayanagara Empire, Krishnadevaraya. The book references ""Rayavacakamu,""""Amuktamalyada,"" and various sources from foreign travelers and merchants who visited the empire during its heydays under his reign in the early 16th century. While the book serves as a basic introduction to Raya and the life and times of that era, it lacks depth and tries too much to ""secularize"" the narrative that falls flat. <br/><br/>We learn about Raya and the history of the Vijayanagara kingdom from Harihara and Bukka, establishing it with the guidance of sage Vidyaranya, to the Saluva dynasty, which preceded the Tuluva dynasty of which Raya was part. We also get a good sense of the geopolitical landscape and the challenges to the empire - The Gajaptis to the east and the Bahmani Sultans to the north, who were 5 distinct kingdoms. <br/><br/>The book is divided into three parts and speaks about Raya's dream to fulfill Saluva Narasimha's desire to capture the three fortresses of Udayagiri, Mugdal, and Raichur, and how he successfully led his troops under challenging terrains and leveraging allies, including the Portuguese with their high precision snipers to expand his empire. The critical battles covered are those between Gajapati King Prataparudradeva and Bijapur Sultan Adil Shah. <br/><br/>There is also an undercurrent exploration of his low-born caste, the dynamics of Hindu-Muslim ""unity,"" and how things weren't black and white as portrayed in history books. These parts fall flat as they lack depth and research from the author on well-established facts. <br/><br/>Overall, the book is a passable read.",,,1,0
40779082,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",,"=""""","=""""",0,4.18,Random House,Kindle Edition,710,2009,1962,,2024/03/13,to-read,to-read (#67),to-read,,,,0,0
20821092,Napoleon: A Life,Andrew Roberts,"Roberts, Andrew",,"=""0670025321""","=""9780670025329""",0,4.25,Viking Pr,Paperback,976,2014,2014,,2024/03/13,to-read,to-read (#66),to-read,,,,0,0
7282903,The Crusades: The Authoritative History of the War for the Holy Land,Thomas Asbridge,"Asbridge, Thomas",,"=""0060787287""","=""9780060787288""",0,4.23,Ecco,Hardcover,784,2010,2010,,2024/03/13,to-read,to-read (#65),to-read,,,,0,0
60432,Caesar: Life of a Colossus,Adrian Goldsworthy,"Goldsworthy, Adrian",,"=""0300120486""","=""9780300120486""",0,4.24,Yale University Press,Hardcover,583,2006,2006,,2024/03/13,to-read,to-read (#64),to-read,,,,0,0
60410463,A Passage Through India,S.R. Ramaswamy,"Ramaswamy, S.R.","Vedavyas M.G., Paresh Nadig, Hari Ravikumar, S. Somashekhara Sharma","=""""","=""""",0,4.57,Rashtrothana Sahitya,Hardcover,328,2022,2022,,2024/02/23,to-read,to-read (#63),to-read,,,,0,0
207642725,Vishwanath Rises and Rises: The Story of Eternal Kashi,Meenakshi Jain,"Jain, Meenakshi",,"=""8173056994""","=""9788173056994""",0,4.25,Aryan Books International,Hardcover,332,2024,,,2024/02/18,to-read,to-read (#62),to-read,,,,0,0
57194156,Hymns of Harappa : A New Paradigm on Traditional Histories,Sai Papineni,"Papineni, Sai",,"=""1636696635""","=""9781636696638""",3,3.61,Notion Press,Kindle Edition,232,2021,2021,2024/02/16,2021/03/07,,,read,"Hymns of Harappa by Sai Papineni is a thought-provoking book for many reasons. At the outset, the book aims to provide a thesis/postulation to try and reconcile one of the most intriguing mysteries of proto-Indian history - who the Vedic people were and how they were related to the Harappan civilization. Were they the same or two entities that existed in different periods?<br/><br/>To solve this riddle, the author references the Puranic king lists published by Britishman F.E Pargiter in 1922, after years of meticulous research to try and bring out the historicity of Indian tradition based on the Itihasa-Puranas. Most of the book is spent postulating how, by comparing different periods of ancient Indian civilization with the corresponding kings, their histories, and the archaeological, geographical, and other recent scientific evidence, we can understand that the Vedic people and the Harappans were the same and part of the same milieu. <br/><br/>The author provides a lot of maps and other tabular data to put forth his arguments. Key among them are the timelines for the Ramayana matching with the mature Harappan phase between 2600-2000BCE, which signaled growth and prosperity, the start of the Dvapara Yuga coinciding with the late Harappan phase and the end of the Mahabharata war culminating with the dark post-Harappan phase that existed between 1400-600 BCE. There are also calculations based on backtracking the king lists with average life spans from the Mauryan period to Manu himself.<br/><br/>We dive deep into civilizations East and West, the interactions between them and the Harappans, conceptualizing Asuras and Devas w.r.t to immigrants from outside vs. within. The author also speculated on the original location of Ayodhya to be Harappa itself and how the Ramayana took place within the Harappan locations and later included all of Bharatavarsha. While some of his correlations warrant deeper investigation, others do not conform with existing discoveries. <br/><br/>The book also examines the Aryan invasion theory related to these timelines, genetics, linguistics, the spread of languages, and the split between Indo-Aryan and Elamo-Dravidian languages. <br/><br/>It took a lot of work to follow some parts of the book, particularly the explanations of Asuras and Devas, following lineages of the Iksvaku clan, etc. The author tries to focus on too many disciplines and could have made the explanations more lucid. Still, it was an academic and engaging read.",,,1,0
156688008,"Let's Talk Mutual Funds: A Systematic, Smart Way to Make Them Work for You",Monika Halan,"Halan, Monika",,"=""9356991359""","=""9789356991354""",5,4.33,HarperCollins India,Kindle Edition,305,2023,,2024/01/08,2023/10/12,,,read,"Let’s Talk Mutual Funds is the sequel to the very enlightening and foundational book “Let’s Talk Money” by Monika Halan. As the title suggests, this book is both an introduction and a dive deep into the world of mutual funds in India. It provides a step-by-step guide for investors on investing in mutual funds at any stage of their life or financial journey. <br/><br/>There are a lot of similarities to its predecessor - easy-to-understand language, relatable examples, gotchas and lessons to learn, and the caring and considerate manner in which she disambiguates the complexities in mutual funds. There are also some differences; mutual funds are essentially a subset (albeit hard to understand) of your finances overall, and the jargon takes some getting used to. There are also hundreds of options, asset classes, funds, schemes, and so on that, despite the simplification, require double reading occasionally. <br/><br/>What one takes away from this book is that mutual funds are a fantastic instrument to grow one’s wealth, but understanding how they work, what purpose they need to serve, and planning them based on our needs are what actually provide value. Monika spends enough time covering the basics and ensuring we understand it before eventually providing us with a framework for investing and making the right choice. This book isn’t a get-rich-tomorrow book; it’s a get-rich eventually-by-making sound choices book. <br/><br/>There is still a lot of hard work left for the reader to go ahead and implement the suggestions provided by the author, but where the book shines is in helping us, the investor, be confident in our choices and make the right short and long-term decisions. <br/><br/>As someone who isn’t very financially literate, I found this an eye-opener, and I highly recommend it for youngsters starting their career and investment journey.",,,1,0
38588764,Tokyo Express,Seichō Matsumoto,"Matsumoto, Seichō","Gala Maria Follaco, P.C. Blum","=""8845932443""","=""9788845932441""",0,3.68,Adelphi,Paperback,175,2018,1958,,2023/11/28,to-read,to-read (#61),to-read,,,,0,0
114131179,Science Texts in Skt. in the Manuscripts Repositories of Kerala and Tamilanadu,K.V. Sarma,"Sarma, K.V.",,"=""8186111042""","=""9788186111048""",0,0.0,"Motilal Banarsidass,",Hardcover,240,2003,,,2023/11/07,to-read,to-read (#60),to-read,,,,0,0
4809074,Ganita-Yukti-Bhāṣā (Rationales in Mathematical Astronomy) of Jyeṣṭhadeva: Volume I: Mathematics Volume II: Astronomy (Sources and Studies in the History of Mathematics and Physical Sciences),K.V. Sarma,"Sarma, K.V.","K. Ramasubramanian, M. D. Srinivas, M. S. Sriram","=""1848820720""","=""9781848820722""",0,5.00,Springer,Hardcover,1152,2009,2008,,2023/11/07,to-read,to-read (#59),to-read,,,,0,0
